                    combo28    att406    att622   guard18     id868     id740    small4     att10
    1 ATTACK + 3.6s         1         1         1         1         0         0         1  1035612480
    1 ATTACK + 3.6s         1  1043394363         1         1         0         0  1077219072  3324497642
    1 ATTACK + 3.6s         1  1043394363         1         0         0         0  1077219072  3324497642
    1 ATTACK + 3.7s         1  1043394363         1         1         0         0         1  3324497642
    1 ATTACK + 3.7s         1  1043394363         1         0         0         0         1  3324497642
    1 ATTACK + 3.7s         1  1043394363         1         0         0         0  1103877760  3324497642
    1 ATTACK + 3.8s         1  1043394363         1         4         0         0  1075662080  1065353216
    1 ATTACK + 3.8s         1  1043394363         1         0         0         0  1075662080  1065353216
    1 ATTACK + 3.9s         1  1043394363         1        24         0         0  1103783328  1065353216
    1 ATTACK + 3.9s         1  1043394363         1         0         0         0  1103783328  1065353216
    1 ATTACK + 3.9s         0  1043394363  3324495904         4         0         0         0  3216991678
    1 ATTACK + 3.9s         0  1043394363  3324495904         0         0         0         0  3216991678
    1 ATTACK + 4.0s         0  1043394363  3324495904         0         0       897         1  3216991678
    1 ATTACK + 4.0s         0  1043394363  3324495904         1         0         0  1103651680  3216991678
    1 ATTACK + 4.0s         0  1043394363  3324495904        14         0       742         0  3216991678
    1 ATTACK + 4.1s         1         1         1         0         0         0         0     27415
    1 ATTACK + 4.1s         1         1         1        14         0       897         1     27415
    1 ATTACK + 4.1s         1         1         1         1         0         0         1     27415
    1 ATTACK + 4.2s         1         1         1         3         0         0         1     27415
    1 ATTACK + 4.2s         1         1         1         2         0         0         1     27415
    1 ATTACK + 4.2s         1         1         1        10         0       897         1     27415
    1 ATTACK + 4.3s         1         1         1         1         0         0  1106278688  3174812672
    1 ATTACK + 4.3s         1         1         1      8829         0       897  1106278688  3174812672
    1 ATTACK + 4.3s         1         1         1         7         0       897  1106278688  3174812672
    1 ATTACK + 4.3s         1         1         1         3         0       959         1  3174812672
    1 ATTACK + 4.4s         1         1         1         1         0         0         1  3174812672
    1 ATTACK + 4.4s         1         1         1         0         0         0  1103297696  3174812672
    1 ATTACK + 4.4s         1         1         1        22         0         0  1078145536  1109447823
    1 ATTACK + 4.5s         1         1         1        13         0         0         1  1109447823
    1 ATTACK + 4.5s         1         1         1         4         0         0         1  1109447823
    1 ATTACK + 4.5s         1         1         1         1         0         0         1  1109447823
    1 ATTACK + 4.6s         1         1         1        11         0         0         1  1109447823
    1 ATTACK + 4.6s         1         1         1         0         0         0         1     27415
    1 ATTACK + 4.6s         1         1         1        10         0       897         1     27415
    1 ATTACK + 4.7s         1         1         1         2         0         0         1     27415
    1 ATTACK + 4.7s         1         1         1         1         0         0         1     27415
    1 ATTACK + 4.7s         1         1         1         0         0         0  1092683072     27415
    1 ATTACK + 4.7s         0         1         0        22         0         0         0     27415
    1 ATTACK + 4.8s         0         1         0         7         0         0         0     27415
    1 ATTACK + 4.8s         0         1         0         1         0         0         0     27415
    1 ATTACK + 4.8s         0         1         0         3         0        78         0     27415
    1 ATTACK + 4.9s         0         1         0         1         0         0         2     27415
    1 ATTACK + 4.9s         0         1         0         3         0         0         2  1065353216
    1 ATTACK + 4.9s         0         1         0         1         0         0        30  1065353216
    1 ATTACK + 5.0s         0         1         0         0         0         0  1078740480  1065353216
    1 ATTACK + 5.0s         0         1         0        18         0         0  1078740480  1065353216
        IDLE + 0.0s         0         1         0         1         0         0  1081540352     27415
        IDLE + 0.1s         1         1         1         0         0       747         0     27415
        IDLE + 0.1s         1         1         1        14         0       747         0     27415
        IDLE + 0.1s         1         1         1        24         0         0         0     27415
        IDLE + 0.2s         1         1         1         1         0         0  1081629184     27415
        IDLE + 0.2s         1         1         1         0         0         0         0     27415
        IDLE + 0.2s         1         1         1         3         0         0         0     27415
